depth, Negamax, SSS, DUAL
1, 0.0311741, 0.0260711, 0.041486
2, 0.2402842, 0.2146502, 0.294168
3, 1.0448833, 1.1211583, 1.186526
4, 3.5918234, 3.2283534, 3.243075
