depth, Negamax, SSS, DUAL
1, 0.0312271, 0.0393731, 0.033045
2, 0.1754932, 0.1886982, 0.196147
3, 0.8805903, 0.9068213, 0.997134
4, 3.0653744, 2.9168644, 3.365934
